ano,regiao,estado,fonte,geracao_gwh,renovavel
2012,SUL,Paraná,Eólica,22.785377,True
2012,SUL,Paraná,Hidráulica,87911.671182,True
2012,SUL,Paraná,Nuclear,0.0,False
2012,SUL,Paraná,Solar fotovoltaica,0.0,True
2012,SUL,Rio Grande do Sul,Eólica,1034.568196,True
2012,SUL,Rio Grande do Sul,Hidráulica,11933.928643,True
2012,SUL,Rio Grande do Sul,Nuclear,0.0,False
2012,SUL,Rio Grande do Sul,Solar fotovoltaica,0.0,True
2012,SUL,Santa Catarina,Eólica,475.537109,True
2012,SUL,Santa Catarina,Hidráulica,11123.329056,True
2012,SUL,Santa Catarina,Nuclear,0.0,False
2012,SUL,Santa Catarina,Solar fotovoltaica,0.0,True
2013,CENTRO OESTE,Distrito Federal,Eólica,0.0,True
2013,CENTRO OESTE,Distrito Federal,Hidráulica,126.050817,True
2013,CENTRO OESTE,Distrito Federal,Nuclear,0.0,False
2013,CENTRO OESTE,Distrito Federal,Solar fotovoltaica,0.033069,True
2013,CENTRO OESTE,Distrito Federal,Térmica,3.139531,False
2013,CENTRO OESTE,Goiás,Eólica,0.0,True
2013,CENTRO OESTE,Goiás,Hidráulica,27075.61485,True
2013,CENTRO OESTE,Goiás,Nuclear,0.0,False
2013,CENTRO OESTE,Goiás,Solar fotovoltaica,0.0,True
2013,CENTRO OESTE,Goiás,Térmica,4138.380696,False
2013,CENTRO OESTE,Mato Grosso,Eólica,0.0,True
2013,CENTRO OESTE,Mato Grosso,Hidráulica,9610.117978,True
2013,CENTRO OESTE,Mato Grosso,Nuclear,0.0,False
2013,CENTRO OESTE,Mato Grosso,Solar fotovoltaica,0.0,True
2013,CENTRO OESTE,Mato Grosso,Térmica,2754.8446289999997,False
2013,CENTRO OESTE,Mato Grosso do Sul,Eólica,0.0,True
2013,CENTRO OESTE,Mato Grosso do Sul,Hidráulica,19056.095428,True
2013,CENTRO OESTE,Mato Grosso do Sul,Nuclear,0.0,False
2013,CENTRO OESTE,Mato Grosso do Sul,Solar fotovoltaica,0.020079,True
2013,CENTRO OESTE,Mato Grosso do Sul,Térmica,6224.456692,False
2013,NORDESTE,Alagoas,Eólica,0.0,True
2013,NORDESTE,Alagoas,Hidráulica,12216.556667,True
2013,NORDESTE,Alagoas,Nuclear,0.0,False
2013,NORDESTE,Alagoas,Solar fotovoltaica,0.0,True
2013,NORDESTE,Alagoas,Térmica,812.5538659999999,False
2013,NORDESTE,Bahia,Eólica,775.343773,True
2013,NORDESTE,Bahia,Hidráulica,12031.134641,True
2013,NORDESTE,Bahia,Nuclear,0.0,False
2013,NORDESTE,Bahia,Solar fotovoltaica,1.659072,True
2013,NORDESTE,Bahia,Térmica,10112.813025,False
2013,NORDESTE,Ceará,Eólica,2348.609002,True
2013,NORDESTE,Ceará,Hidráulica,4.978746,True
2013,NORDESTE,Ceará,Nuclear,0.0,False
2013,NORDESTE,Ceará,Solar fotovoltaica,1.396054,True
2013,NORDESTE,Ceará,Térmica,8043.208442,False
2013,NORDESTE,Maranhão,Eólica,0.0,True
2013,NORDESTE,Maranhão,Hidráulica,3078.23952,True
2013,NORDESTE,Maranhão,Nuclear,0.0,False
2013,NORDESTE,Maranhão,Solar fotovoltaica,0.013929,True
2013,NORDESTE,Maranhão,Térmica,8091.322168,False
2013,NORDESTE,Paraíba,Eólica,146.200586,True
2013,NORDESTE,Paraíba,Hidráulica,7.743922,True
2013,NORDESTE,Paraíba,Nuclear,0.0,False
2013,NORDESTE,Paraíba,Solar fotovoltaica,0.0,True
2013,NORDESTE,Paraíba,Térmica,1680.118698,False
2013,NORDESTE,Pernambuco,Eólica,66.247827,True
2013,NORDESTE,Pernambuco,Hidráulica,2542.287825,True
2013,NORDESTE,Pernambuco,Nuclear,0.0,False
2013,NORDESTE,Pernambuco,Solar fotovoltaica,0.002302,True
2013,NORDESTE,Pernambuco,Térmica,7099.041146,False
2013,NORDESTE,Piauí,Eólica,63.482523,True
2013,NORDESTE,Piauí,Hidráulica,529.48728,True
2013,NORDESTE,Piauí,Nuclear,0.0,False
2013,NORDESTE,Piauí,Solar fotovoltaica,0.0,True
2013,NORDESTE,Piauí,Térmica,138.336206,False
2013,NORDESTE,Rio Grande do Norte,Eólica,1261.903691,True
2013,NORDESTE,Rio Grande do Norte,Hidráulica,0.0,True
2013,NORDESTE,Rio Grande do Norte,Nuclear,0.0,False
2013,NORDESTE,Rio Grande do Norte,Solar fotovoltaica,0.0,True
2013,NORDESTE,Rio Grande do Norte,Térmica,2528.9037829999997,False
2013,NORDESTE,Sergipe,Eólica,73.474387,True
2013,NORDESTE,Sergipe,Hidráulica,6470.902128,True
2013,NORDESTE,Sergipe,Nuclear,0.0,False
2013,NORDESTE,Sergipe,Solar fotovoltaica,0.0,True
2013,NORDESTE,Sergipe,Térmica,215.890666,False
2013,NORTE,Acre,Eólica,0.0,True
2013,NORTE,Acre,Hidráulica,0.0,True
2013,NORTE,Acre,Nuclear,0.0,False
2013,NORTE,Acre,Solar fotovoltaica,0.0,True
2013,NORTE,Acre,Térmica,234.473965,False
2013,NORTE,Amapá,Eólica,0.0,True
2013,NORTE,Amapá,Hidráulica,395.557473,True
2013,NORTE,Amapá,Nuclear,0.0,False
2013,NORTE,Amapá,Solar fotovoltaica,0.0,True
2013,NORTE,Amapá,Térmica,1224.574058,False
2013,NORTE,Amazonas,Eólica,0.0,True
2013,NORTE,Amazonas,Hidráulica,1299.191241,True
2013,NORTE,Amazonas,Nuclear,0.0,False
2013,NORTE,Amazonas,Solar fotovoltaica,0.0,True
2013,NORTE,Amazonas,Térmica,8677.084526999999,False
2013,NORTE,Pará,Eólica,0.0,True
2013,NORTE,Pará,Hidráulica,39533.389114,True
2013,NORTE,Pará,Nuclear,0.0,False
2013,NORTE,Pará,Solar fotovoltaica,0.0,True
2013,NORTE,Pará,Térmica,1654.7799280000002,False
2013,NORTE,Rondônia,Eólica,0.0,True
2013,NORTE,Rondônia,Hidráulica,5165.508781,True
2013,NORTE,Rondônia,Nuclear,0.0,False
2013,NORTE,Rondônia,Solar fotovoltaica,0.013545,True
2013,NORTE,Rondônia,Térmica,1245.084784,False
2013,NORTE,Roraima,Eólica,0.0,True
2013,NORTE,Roraima,Hidráulica,20.353278,True
2013,NORTE,Roraima,Nuclear,0.0,False
2013,NORTE,Roraima,Solar fotovoltaica,0.0,True
2013,NORTE,Roraima,Térmica,150.976823,False
2013,NORTE,Tocantins,Eólica,0.0,True
2013,NORTE,Tocantins,Hidráulica,11612.984531,True
2013,NORTE,Tocantins,Nuclear,0.0,False
2013,NORTE,Tocantins,Solar fotovoltaica,0.0,True
2013,NORTE,Tocantins,Térmica,267.699393,False
2013,SUDESTE,Espírito Santo,Eólica,0.0,True
2013,SUDESTE,Espírito Santo,Hidráulica,2099.333246,True
2013,SUDESTE,Espírito Santo,Nuclear,0.0,False
2013,SUDESTE,Espírito Santo,Solar fotovoltaica,0.0,True
2013,SUDESTE,Espírito Santo,Térmica,6924.3491269999995,False
2013,SUDESTE,Minas Gerais,Eólica,0.200884,True
2013,SUDESTE,Minas Gerais,Hidráulica,46062.472469,True
2013,SUDESTE,Minas Gerais,Nuclear,0.0,False
2013,SUDESTE,Minas Gerais,Solar fotovoltaica,0.068784,True
2013,SUDESTE,Minas Gerais,Térmica,7951.803908,False
2013,SUDESTE,Rio de Janeiro,Eólica,64.153696,True
2013,SUDESTE,Rio de Janeiro,Hidráulica,6868.564405,True
2013,SUDESTE,Rio de Janeiro,Nuclear,15449.69,False
2013,SUDESTE,Rio de Janeiro,Solar fotovoltaica,0.019352,True
2013,SUDESTE,Rio de Janeiro,Térmica,39120.699238,False
2013,SUDESTE,São Paulo,Eólica,0.003219,True
2013,SUDESTE,São Paulo,Hidráulica,47676.750896,True
2013,SUDESTE,São Paulo,Nuclear,0.0,False
2013,SUDESTE,São Paulo,Solar fotovoltaica,1.565979,True
2013,SUDESTE,São Paulo,Térmica,27913.489576999997,False
2013,SUL,Paraná,Eólica,22.872011,True
2013,SUL,Paraná,Hidráulica,98146.360288,True
2013,SUL,Paraná,Nuclear,0.0,False
2013,SUL,Paraná,Solar fotovoltaica,0.000304,True
2013,SUL,Paraná,Térmica,5279.9065630000005,False
2013,SUL,Rio Grande do Sul,Eólica,1264.820066,True
2013,SUL,Rio Grande do Sul,Hidráulica,20448.466248,True
2013,SUL,Rio Grande do Sul,Nuclear,0.0,False
2013,SUL,Rio Grande do Sul,Solar fotovoltaica,0.0,True
2013,SUL,Rio Grande do Sul,Térmica,5596.939834,False
2013,SUL,Santa Catarina,Eólica,491.098182,True
2013,SUL,Santa Catarina,Hidráulica,18571.04003,True
2013,SUL,Santa Catarina,Nuclear,0.0,False
2013,SUL,Santa Catarina,Solar fotovoltaica,0.001124,True
2013,SUL,Santa Catarina,Térmica,6597.067879,False
2014,CENTRO OESTE,Distrito Federal,Eólica,0.0,True
2014,CENTRO OESTE,Distrito Federal,Hidráulica,123.720031,True
2014,CENTRO OESTE,Distrito Federal,Nuclear,0.0,False
2014,CENTRO OESTE,Distrito Federal,Solar fotovoltaica,0.073956,True
2014,CENTRO OESTE,Distrito Federal,Térmica,3.259071,False
2014,CENTRO OESTE,Goiás,Eólica,0.0,True
2014,CENTRO OESTE,Goiás,Hidráulica,25787.846357,True
2014,CENTRO OESTE,Goiás,Nuclear,0.0,False
2014,CENTRO OESTE,Goiás,Solar fotovoltaica,0.004444,True
2014,CENTRO OESTE,Goiás,Térmica,5327.666451,False
2014,CENTRO OESTE,Mato Grosso,Eólica,0.0,True
2014,CENTRO OESTE,Mato Grosso,Hidráulica,10318.384909,True
2014,CENTRO OESTE,Mato Grosso,Nuclear,0.0,False
2014,CENTRO OESTE,Mato Grosso,Solar fotovoltaica,0.007619,True
2014,CENTRO OESTE,Mato Grosso,Térmica,3942.5329680000004,False
2014,CENTRO OESTE,Mato Grosso do Sul,Eólica,0.0,True
2014,CENTRO OESTE,Mato Grosso do Sul,Hidráulica,15990.658163,True
2014,CENTRO OESTE,Mato Grosso do Sul,Nuclear,0.0,False
2014,CENTRO OESTE,Mato Grosso do Sul,Solar fotovoltaica,0.087897,True
2014,CENTRO OESTE,Mato Grosso do Sul,Térmica,8353.026349000002,False
2014,NORDESTE,Alagoas,Eólica,0.0,True
2014,NORDESTE,Alagoas,Hidráulica,10455.619289,True
2014,NORDESTE,Alagoas,Nuclear,0.0,False
2014,NORDESTE,Alagoas,Solar fotovoltaica,0.0,True
2014,NORDESTE,Alagoas,Térmica,919.79345,False
2014,NORDESTE,Bahia,Eólica,1880.800041,True
2014,NORDESTE,Bahia,Hidráulica,10905.647883,True
2014,NORDESTE,Bahia,Nuclear,0.0,False
2014,NORDESTE,Bahia,Solar fotovoltaica,3.057868,True
2014,NORDESTE,Bahia,Térmica,10370.617879,False
2014,NORDESTE,Ceará,Eólica,3787.533782,True
2014,NORDESTE,Ceará,Hidráulica,8.242563,True
2014,NORDESTE,Ceará,Nuclear,0.0,False
2014,NORDESTE,Ceará,Solar fotovoltaica,4.006012,True
2014,NORDESTE,Ceará,Térmica,12160.516705,False
2014,NORDESTE,Maranhão,Eólica,0.061295,True
2014,NORDESTE,Maranhão,Hidráulica,3251.631704,True
2014,NORDESTE,Maranhão,Nuclear,0.0,False
2014,NORDESTE,Maranhão,Solar fotovoltaica,0.051052,True
2014,NORDESTE,Maranhão,Térmica,12719.893436999999,False
2014,NORDESTE,Paraíba,Eólica,164.325757,True
2014,NORDESTE,Paraíba,Hidráulica,3.728943,True
2014,NORDESTE,Paraíba,Nuclear,0.0,False
