ano,fonte,geracao_gwh,participacao_geracao_pct,crescimento_anual_pct_x,renovavel,capacidade_mw,participacao_capacidade_pct,crescimento_anual_pct_y
2019,Eólica,55985.62168,8.844038635628248,15.49346794409332,True,15377.85286,9.039520131759302,6.862681736971976
2019,Hidráulica,397877.05663,62.85256741773077,2.289625451954991,True,109058.17580000003,64.10736171376303,4.723282015285002
2019,Nuclear,16128.824302,2.5478674880037135,2.9025172847134018,False,1990.0,1.1697761206307322,0.0
2019,Solar fotovoltaica,6654.579081,1.0512226662874047,92.2491510618019,True,2473.4318999999996,1.4539505390081913,37.597856131330644
2019,Térmica,156386.22387000002,24.704303792349865,3.827264819791565,False,41218.56159,24.229391494838744,1.7168942620592986
2020,Eólica,57050.706317,9.073473037317251,1.9024253103551603,True,17131.16286000002,9.803997215409476,11.401526701823418
2020,Hidráulica,396381.195392,63.041359539087594,-0.3759606675162064,True,109271.13641,62.53480431206804,0.19527248501802763
2020,Nuclear,14052.59817,2.2349569151916784,-12.872767990550592,False,1990.0,1.1388575672360888,0.0
2020,Solar fotovoltaica,10748.341462,1.7094404740485323,61.51797628626004,True,3287.114249999999,1.8811833859206428,32.896897222033886
2020,Térmica,150530.875511,23.940770034354948,-3.744158669543318,False,43057.099389999974,24.641157519365752,4.460460843558467
2021,Eólica,72285.974869,11.012550575378564,26.704785156113296,True,20771.078859999998,11.437206087175351,21.247337555227563
2021,Hidráulica,362818.451097,55.27429836323242,-8.467289741585304,True,109350.07824000003,60.21157537888377,0.07224399104244217
2021,Nuclear,14704.587598,2.240199636326764,4.639636173415185,False,1990.0,1.0957562804938938,0.0
2021,Solar fotovoltaica,16752.28087,2.5521595394978727,55.8592172497171,True,4632.24556,2.550659379477364,40.92134339413367
2021,Térmica,189835.00880399998,28.920791885564366,26.110346571476526,False,44866.32528999999,24.70480287396961,4.201922390573798
2022,Eólica,81631.568663,12.05496193949752,12.92864046025044,True,23744.12386,12.554619324983301,14.3133874751463
2022,Hidráulica,427113.549289,63.07409823004338,17.7210111551936,True,109720.86599000002,58.01450972181533,0.33908320503091005
